search_query,name,gender,join_date_from_earliest,location_size,hourly_rate,pay_grade,avg_rating,num_reviews,num_recommendations,pct_jobs_completed,pct_on_budget,pct_on_time,verification_preferred_freelancer,verification_identity_verified,verification_payment_verified,verification_phone_verified,verification_email_verified,verification_facebook_connected,badge_plus_membership,badge_preferred_freelancer,badge_verified,num_certifications,num_skills
2,Chasity,0,7399,0,18,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,19
2,Azin,0,7572,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8
2,Christopher,1,6019,4,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,10
2,Alston,1,7272,1,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,4
2,Kevin,1,7143,5,25,2.3,5.0,1,0,100.0,100.0,100.0,0,1,1,1,0,0,1,0,0,0,19
2,Shannon,0,7262,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,4
2,Michael,1,6477,2,60,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,20
2,Ivana,0,5732,5,20,5.5,4.9,14,0,100.0,100.0,100.0,0,0,1,1,0,1,0,0,0,0,5
2,David,1,6535,4,25,1.6,5.0,2,0,100.0,100.0,100.0,0,0,1,1,0,0,0,0,0,0,20
2,Ethan,1,5106,1,10,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,10
2,Jada,0,7568,3,12,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,17
2,Christopher,1,5148,1,14,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,19
2,Mark,1,7149,5,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,6
2,Xingyu,0,5572,5,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,10
2,Terri,0,4815,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,2,39
2,Muhammad,1,5559,1,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,10
2,Aubrey,0,6782,0,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,14
2,Giulia,0,6065,2,25,2.8,5.0,1,0,100.0,100.0,100.0,0,0,1,1,0,0,0,0,0,0,12
2,Rafia,0,7335,4,25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,11
2,Alexus,0,5625,2,15,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,0,1,11
2,Luan,1,4402,2,40,3.2,5.0,2,0,100.0,100.0,100.0,0,0,0,1,0,0,0,0,0,0,20
2,Ameatsauce,0,5391,0,18,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,10
2,Jackson,1,4624,2,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,18
2,Tyler,1,4839,4,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,20
2,Nicole,0,6080,4,30,4.4,5.0,8,0,100.0,100.0,100.0,0,1,1,1,0,0,0,0,0,0,20
2,Stephanie,0,7485,0,30,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,20
2,Nathan,1,6532,2,85,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,7
